"TIpo","Movimientos","Tiempo","Jugador"
3x3, 5, 6.135062953867726, e
3x3, 10, 5.858367411738691, e
3x3, 8, 2.399471492113509, e
3x3, 9, 0.5431444280733331, e
2x2, 5, 11.781756418463635, e
3x3, 5, 12.594320027629916, e
3x3, 5, 8.230119583932288, e
3x3, 4, 6.834548832186154, e
3x3, 4, 8.463121935009125, e
floppy, 3, 7.46019549813677, e
floppy, 5, 8.619059056745233, e
3x3V2, 5, 17.7549039956318, e
3x3, 20, 5.067668878706719, e
3x3, 20, 17.162604230381774, e
3x3, 20, 12.793890848094446, e
3x3, 20, 6.181867222628157, e
3x3, 20, 5.545416546644307, e
3x3, 20, 9.316293327971989, e
3x3, 20, 5.029001948859711, e
3x3, 20, 11.596545648789437, e
3x3, 20, 5.046220915094411, e
3x3, 20, 5.168220258096352, e
3x3, 20, 6.241632220053371, e
3x3, 20, 9.043906421731991, e
2x2, 15, 10.188046732527996, e
2x2, 15, 7.513130301091931, e
2x2, 15, 6.165155108597012, e
2x2, 15, 6.403471365025434, e
2x2, 15, 7.816286251842163, e
2x2, 15, 7.346423079872864, e
2x2, 15, 5.295889795122765, e
2x2, 15, 6.097094865168568, e
2x2, 8, 12.82912018098862, e
2x2, 8, 6.350860427563049, e
2x2, 10, 5.407720933140305, e
2x2, 11, 5.463266330407682, e
2x2, 12, 5.516835506265066, e
2x2, 15, 5.1819454614182225, e
2x2, 6, 8.11069737327313, e
2x2, 15, 7.773869030201803, e
3x3V2, 22, 9.981038599419994, e
3x3V2, 20, 7.546156602069591, e
3x3V2, 20, 10.023171920460236, e
3x3V2, 20, 8.109504502881874, e
3x3V2, 16, 14.646805440622462, e
3x3V2, 7, 9.390959179398974, e
3x3V2, 20, 11.630785136890635, e
3x3V2, 20, 6.167715751496336, e
3x3V2, 7, 7.820387163542524, e
3x3V2, 10, 15.645468678390777, e
3x3V2, 20, 13.456469088180857, e
3x3V2, 20, 5.437986839498519, e
floppy, 5, 16.13784509736525, e
floppy, 5, 6.707060824261479, e
floppy, 4, 69.62469652813434, a
2x2, 16, 291.67568609712504, a
3x3V2, 23, 10.89270280414671, e
3x3V2, 17, 439.30013629789823, a
floppy, 6, 7.943393801099905, e
3x3, 6, 172.69584151897055, a
3x3V2, 22, 6.312511208165731, e
floppy, 3, 61.74042565657669, a
floppy, 3, 67.68897936205803, a
2x2, 9, 6.09733559634555, e
3x3, 19, 10.140962495019593, e
3x3V2, 25, 11.7409832651316, e
3x3, 15, 5.241648722594634, e
floppy, 3, 80.83891659196604, a
2x2, 14, 188.05623996131214, a
floppy, 3, 4.734865203869731, a
3x3, 16, 8.918720939646104, e
2x2, 14, 11.659057333880938, e
floppy, 4, 15.395036994857108, e
2x2, 14, 10.183266064543162, e
3x3, 13, 6.844532137928306, e
2x2, 14, 396.5420010231727, a
3x3V2, 20, 10.600349022011148, e
3x3, 21, 465.9709127102421, a
3x3, 17, 10.813637234651772, e
floppy, 3, 10.24948668142559, e
2x2, 15, 38.38839934713178, a
3x3, 27, 794.7915230726667, a
3x3, 16, 426.5730018694097, a
2x2, 13, 7.771534881618833, e
3x3V2, 26, 480.1626387702073, a
3x3V2, 17, 455.8126433230516, a
2x2, 13, 252.05514596140807, a
3x3V2, 16, 229.52712750444022, a
2x2, 18, 457.58130520906235, a
2x2, 8, 8.529922438196678, e
3x3V2, 18, 5.1105297254899895, e
2x2, 16, 446.26313686334925, a
3x3V2, 16, 10.323717766863627, e
3x3V2, 22, 9.083181317665964, e
floppy, 5, 5.973657771049099, e
3x3V2, 13, 230.04077141699383, a
3x3V2, 30, 9.072834564671549, e
3x3, 18, 6.555404663304729, e
floppy, 5, 66.85358983247966, a
3x3, 20, 522.6278520513845, a
floppy, 4, 55.64990892711273, a
3x3V2, 18, 396.8251526744711, a
2x2, 13, 325.65017254580937, a
3x3, 15, 234.38443358816352, a
3x3, 16, 9.306202358970426, e
3x3V2, 14, 194.55224918389797, a
3x3V2, 17, 7.704602281577605, e
3x3V2, 16, 10.736036095575887, e
3x3, 14, 121.30198888886952, a
2x2, 20, 527.0706829295591, a
floppy, 4, 38.85020174910517, a
3x3V2, 24, 8.805871073564278, e
2x2, 17, 6.606022546941417, e
3x3V2, 17, 12.478279707255806, e
2x2, 9, 5.815536615784559, e
3x3, 26, 10.180398754967454, e
3x3V2, 19, 90.2141243376334, a
3x3, 19, 9.937144720000774, e
3x3V2, 23, 5.229120877626342, e
floppy, 6, 8.359299076077827, e
2x2, 15, 178.86071215051624, a
3x3V2, 17, 5.234906008429629, e
floppy, 6, 12.681009821282471, e
3x3V2, 19, 5.53476877212098, e
floppy, 3, 82.25260369888088, a
2x2, 16, 402.4380906676829, a
2x2, 18, 6.982114101632759, e
floppy, 6, 13.453035743655906, e
3x3, 17, 5.271555047199896, e
3x3V2, 18, 415.03203694451025, a
3x3V2, 24, 7.352058717430553, e
floppy, 4, 48.87741067846082, a
floppy, 5, 12.765806378164143, a
2x2, 19, 296.72365975760505, a
3x3V2, 11, 12.925775725911475, e
floppy, 3, 85.79536509245315, a
floppy, 6, 8.225982018292815, e
floppy, 5, 29.770085234421686, a
3x3V2, 18, 10.987420123649049, e
3x3V2, 21, 6.883740467691281, e
3x3, 15, 384.4807825014504, a
2x2, 14, 8.15479804829182, e
3x3, 22, 461.2277592776963, a
3x3V2, 21, 311.650142296372, a
floppy, 2, 6.210156456725713, a
3x3V2, 18, 13.438856731219659, e
2x2, 18, 261.0543911264811, a
3x3V2, 20, 9.567122317710336, e
floppy, 3, 23.935111413695836, a
